initial_preference_width,adaptive_tolerance,backfire_rate,seed,initial_mean_extremity,final_mean_extremity,delta_extremity,final_extreme_share,final_opinion_variance,final_backfire_rate_observed,final_acceptance_rate
0.2,False,0.0,1,0.5380338813570394,0.5136365003349477,-0.02439738102209177,0.265,0.3432530184389437,0.00065,0.86135
0.2,False,0.0,2,0.5039942537498406,0.49641481793104775,-0.00757943581879289,0.265,0.3309552012934203,0.0006,0.863
0.2,False,0.0,3,0.4890296296058673,0.4854926591882932,-0.0035369704175741146,0.23,0.31109887912341005,0.0009,0.8559
0.2,False,0.0,4,0.5382270372131428,0.5391369988119746,0.0009099615988318321,0.285,0.3620323195463396,0.0006,0.86135
0.2,False,0.0,5,0.5029302632833011,0.4822624279383176,-0.020667835344983565,0.24,0.3182447785700864,0.0004,0.8534
0.2,False,0.0,6,0.5186356672752157,0.5207035666876931,0.0020678994124774253,0.29,0.3582637972256576,0.00045,0.863
0.2,False,0.0,7,0.513637667411623,0.49231336996956115,-0.021324297442061824,0.27,0.32398963943775344,0.0004,0.86235
0.2,False,0.0,8,0.5087707013838418,0.5031743723192134,-0.00559632906462848,0.255,0.3320568130719089,0.00065,0.86185
0.2,False,0.0,9,0.5037796340055101,0.49889558674737267,-0.004884047258137403,0.305,0.3353078181338919,0.0002,0.87145
0.2,False,0.0,10,0.4783554051954107,0.47909475866848716,0.000739353473076465,0.23,0.3094617601969914,0.00025,0.8668
0.2,False,0.0,11,0.5245057294818782,0.50180089803372,-0.02270483144815827,0.245,0.3343595006616253,0.00065,0.85515
0.2,False,0.0,12,0.5092713362654364,0.5086500185603932,-0.0006213177050432561,0.245,0.3373180840480819,0.00075,0.8594
0.2,False,0.0,13,0.525746492476239,0.5214009135529004,-0.004345578923338533,0.29,0.3497985004982458,0.0006,0.86185
0.2,False,0.0,14,0.49961878918402114,0.5005238999904834,0.0009051108064622726,0.275,0.3328180146948833,0.00055,0.86315
0.2,False,0.0,15,0.49128662390873923,0.4954864627227471,0.004199838814007872,0.255,0.31862206352084654,0.00065,0.85525
0.2,False,0.0,16,0.5398227235682644,0.5265725094121396,-0.013250214156124818,0.285,0.36309193274587515,0.00045,0.8737
0.2,False,0.0,17,0.501087792958863,0.49234848638788425,-0.008739306570978711,0.26,0.32614195724851536,0.0005,0.87265
0.2,False,0.0,18,0.5282595433746189,0.5262250869402759,-0.0020344564343429683,0.27,0.350647523133986,0.0006,0.8634
0.2,False,0.0,19,0.4817971947725576,0.49527963453525425,0.01348243976269664,0.225,0.31828940129201383,0.0005,0.86545
0.2,False,0.0,20,0.527119700541352,0.541929466603836,0.014809766062483964,0.335,0.3755974270539118,0.0007,0.86175
0.4,False,0.0,1,0.5380338813570394,0.565672587825987,0.027638706468947505,0.34,0.40079212957249793,0.0229,0.6644
0.4,False,0.0,2,0.5039942537498406,0.5198146196562916,0.015820365906450973,0.33,0.3678191476019104,0.02525,0.6639
0.4,False,0.0,3,0.4890296296058673,0.5097599890646359,0.02073035945876861,0.29,0.34273010068444776,0.02485,0.65795
0.4,False,0.0,4,0.5382270372131428,0.5446157590437354,0.006388721830592581,0.365,0.3776079730984644,0.0243,0.65795
0.4,False,0.0,5,0.5029302632833011,0.5151433112727677,0.012213047989466541,0.295,0.3565366761193618,0.02585,0.6527
0.4,False,0.0,6,0.5186356672752157,0.5523220979042922,0.0336864306290765,0.355,0.40028273770614503,0.0244,0.66105
0.4,False,0.0,7,0.513637667411623,0.5320005007294553,0.018362833317832283,0.35,0.36874431695694243,0.02525,0.6749
0.4,False,0.0,8,0.5087707013838418,0.5313825056624374,0.02261180427859555,0.325,0.36659483418627203,0.02535,0.6553
0.4,False,0.0,9,0.5037796340055101,0.5160826303134352,0.012302996307925085,0.345,0.37085739023653047,0.02445,0.6768
0.4,False,0.0,10,0.4783554051954107,0.4846249462223898,0.006269541026979075,0.27,0.323846468153008,0.0225,0.65445
0.4,False,0.0,11,0.5245057294818782,0.5346023773611928,0.010096647879314524,0.315,0.37698989809472466,0.0239,0.65975
0.4,False,0.0,12,0.5092713362654364,0.5249123580643936,0.01564102179895721,0.3,0.360977911910144,0.0256,0.65275
0.4,False,0.0,13,0.525746492476239,0.5328395442338162,0.00709305175757724,0.32,0.36845729890125883,0.0232,0.66975
0.4,False,0.0,14,0.49961878918402114,0.5160729022164786,0.016454113032457474,0.325,0.3629171575162378,0.02575,0.65795
0.4,False,0.0,15,0.49128662390873923,0.501716004223463,0.010429380314723735,0.27,0.33012844029012994,0.02545,0.64065
0.4,False,0.0,16,0.5398227235682644,0.5565888174737883,0.01676609390552386,0.385,0.3938208730152587,0.02215,0.6781
0.4,False,0.0,17,0.501087792958863,0.5154343011320578,0.014346508173194827,0.305,0.36163157833670057,0.0248,0.6688
0.4,False,0.0,18,0.5282595433746189,0.5620232594114764,0.03376371603685746,0.355,0.4017179968981206,0.02325,0.66035
0.4,False,0.0,19,0.4817971947725576,0.49784913480112114,0.016051940028563527,0.255,0.3303527426054271,0.02475,0.6548
0.4,False,0.0,20,0.527119700541352,0.5494403345759615,0.022320634034609488,0.345,0.38695473702221783,0.02465,0.6673
0.6,False,0.0,1,0.5380338813570394,0.5559626297266005,0.017928748369561043,0.35,0.3962126664041473,0.05885,0.5627
0.6,False,0.0,2,0.5039942537498406,0.5310371817641953,0.027042928014354706,0.335,0.3808202050106631,0.06295,0.5736
0.6,False,0.0,3,0.4890296296058673,0.5200402226639622,0.031010593058094893,0.33,0.36044792561465655,0.0631,0.5568
0.6,False,0.0,4,0.5382270372131428,0.5625137873837792,0.024286750170636418,0.38,0.4084192518694607,0.0618,0.57085
0.6,False,0.0,5,0.5029302632833011,0.5208660942407939,0.017935830957492738,0.315,0.3648610333753433,0.06435,0.56185
0.6,False,0.0,6,0.5186356672752157,0.5517062957377,0.03307062846248432,0.385,0.40750519772742094,0.0624,0.56435
0.6,False,0.0,7,0.513637667411623,0.5474910885448167,0.03385342113319367,0.385,0.39255551131354294,0.0601,0.57895
0.6,False,0.0,8,0.5087707013838418,0.5380950570027481,0.029324355618906228,0.345,0.3826723540538562,0.05935,0.5571
0.6,False,0.0,9,0.5037796340055101,0.5226642060909101,0.018884572085400064,0.36,0.3773384251056731,0.06225,0.5784
0.6,False,0.0,10,0.4783554051954107,0.49695322284343346,0.018597817648022763,0.295,0.3430108899304431,0.0616,0.56845
0.6,False,0.0,11,0.5245057294818782,0.5453251635944042,0.02081943411252596,0.36,0.3950063296717134,0.0638,0.57105
0.6,False,0.0,12,0.5092713362654364,0.5322744963734235,0.023003160107987086,0.34,0.3776047689580618,0.06315,0.56365
0.6,False,0.0,13,0.525746492476239,0.5544675776540653,0.028721085177826344,0.375,0.3934282543677833,0.062,0.57015
0.6,False,0.0,14,0.49961878918402114,0.5190925179659612,0.01947372878194009,0.35,0.37337986202880585,0.0646,0.56385
0.6,False,0.0,15,0.49128662390873923,0.5135113583295392,0.022224734420799974,0.28,0.34064402852656156,0.06175,0.5467
0.6,False,0.0,16,0.5398227235682644,0.5729412862895953,0.033118562721330846,0.355,0.41420568943914454,0.0564,0.58135
0.6,False,0.0,17,0.501087792958863,0.529534273699717,0.028446480740853985,0.355,0.38597461581223075,0.0588,0.5701
0.6,False,0.0,18,0.5282595433746189,0.5503699685969811,0.022110425222362173,0.315,0.3912225194266085,0.0592,0.56545
0.6,False,0.0,19,0.4817971947725576,0.5058464300163394,0.02404923524378183,0.295,0.3475113781759419,0.06295,0.56985
