initial_preference_width,social_signal_weight,initial_distribution,seed,initial_mean_extremity,final_mean_extremity,final_opinion_variance,final_extreme_share,final_preference_width,final_acceptance_rate,final_backfire_rate,final_opinion_bimodality
0.2,0.0,moderate,1,0.191984810696711,0.22742294484586809,0.08222381014950596,0.02,0.12648946937064148,0.8433,0.0008,1.3022182947975012
0.2,0.0,moderate,2,0.1686308045373449,0.22564668167169466,0.08392531143271514,0.02,0.1267471652782729,0.8387,0.0007,1.2385724570971648
0.2,0.0,moderate,3,0.1838243742538981,0.24506652223704953,0.09753101067773501,0.035,0.12685785331790725,0.8384,0.00055,1.2656114153559133
0.2,0.0,moderate,4,0.2141814754163253,0.2594947286934467,0.10725416160046483,0.02,0.12657840278160873,0.84475,0.0006,1.2983579486627965
0.2,0.0,moderate,5,0.18573435466753935,0.23056329377885743,0.08734987499779713,0.02,0.12721341761276106,0.83215,0.0004,1.2473626941599019
0.2,0.0,moderate,6,0.20168734440021685,0.2396301632483798,0.09186362263136026,0.01,0.12626920657224067,0.84585,0.00095,1.2907583219567231
0.2,0.0,moderate,7,0.20911035063254804,0.2626548078037172,0.10475190336523293,0.015,0.1259218472443204,0.85415,0.001,1.389164325716074
0.2,0.0,moderate,8,0.21601962406832395,0.25822687129328303,0.10535143335399934,0.025,0.12648296971119977,0.8544,0.00025,1.3186729872915448
0.2,0.0,moderate,9,0.20693438784160467,0.25544732977554174,0.10375459943123651,0.02,0.12635210416051806,0.8488,0.0007,1.3100856042926943
0.2,0.0,moderate,10,0.18517635479143874,0.24641967070999976,0.09663526724846133,0.03,0.1265718887785029,0.845,0.0006,1.291708428515964
0.2,0.0,moderate,11,0.20557049227307933,0.23322802355572864,0.08380646932576755,0.01,0.1264333664444708,0.84455,0.0008,1.352352081433946
0.2,0.0,moderate,12,0.20726156788265984,0.2449544026792158,0.09170761688570402,0.015,0.1263749441748035,0.84705,0.00075,1.3695202808588987
0.2,0.0,moderate,13,0.21044034758961694,0.25575569936809245,0.1062828469954423,0.035,0.12602761536002127,0.8571,0.0007,1.2539029830034167
0.2,0.0,moderate,14,0.19077974354766855,0.2400990625814199,0.09614843409751098,0.04,0.12621137178227868,0.8503,0.0008,1.2228694723583224
0.2,0.0,moderate,15,0.21685872945859622,0.25652965293210817,0.10029844402011925,0.01,0.12654828069098978,0.8427,0.00075,1.376986166409691
0.2,0.0,moderate,16,0.19858286037690412,0.2343600276904794,0.0861767915713233,0.01,0.12588734616950784,0.85785,0.00085,1.311778247187096
0.2,0.0,moderate,17,0.1917777166916192,0.21766575560741383,0.06822016097958712,0.0,0.12653205638848392,0.834,0.0012,1.474291268212502
0.2,0.0,moderate,18,0.2047567655962488,0.2411008912536861,0.09610662492731734,0.03,0.12663813526069645,0.84025,0.00075,1.2341262985666621
