regime,distribution,width,peak_step,peak_value,end_value,relaxation,late_slope_per_100
individual_baseline,polarized,0.2,342,0.465,0.464,0.001,-0.0
individual_baseline,polarized,1.0,79,0.866,0.697,0.169,-0.056
individual_baseline,uniform,0.2,22,0.512,0.501,0.012,0.003
individual_baseline,uniform,1.0,87,0.823,0.668,0.155,-0.054
individual_baseline,moderate,0.2,400,0.322,0.322,0.0,0.017
individual_baseline,moderate,1.0,129,0.605,0.538,0.067,-0.028
global_trending,polarized,0.2,0,0.448,0.212,0.236,0.003
global_trending,polarized,1.0,78,0.95,0.579,0.371,-0.061
global_trending,uniform,0.2,1,0.511,0.294,0.217,-0.002
global_trending,uniform,1.0,85,0.915,0.548,0.367,-0.062
global_trending,moderate,0.2,1,0.201,0.083,0.118,0.02
global_trending,moderate,1.0,107,0.797,0.463,0.334,-0.058
