regime,distribution,width,peak_step,peak_value,end_value,relaxation,late_slope_per_100_steps
individual_baseline,polarized,0.2,342,0.4651,0.4639,0.0012,-0.0004
individual_baseline,polarized,1.0,79,0.8665,0.6973,0.1692,-0.056
individual_baseline,uniform,0.2,22,0.5124,0.5007,0.0117,0.0032
individual_baseline,uniform,1.0,87,0.8231,0.6683,0.1549,-0.054
individual_baseline,moderate,0.2,400,0.3222,0.3222,0.0,0.0168
individual_baseline,moderate,1.0,129,0.6053,0.5383,0.0671,-0.0277
global_trending,polarized,0.2,0,0.4481,0.2119,0.2362,0.003
global_trending,polarized,1.0,78,0.9498,0.5791,0.3707,-0.0611
global_trending,uniform,0.2,1,0.5112,0.294,0.2172,-0.0022
global_trending,uniform,1.0,85,0.9152,0.5481,0.3672,-0.0617
global_trending,moderate,0.2,1,0.2013,0.0835,0.1178,0.0196
global_trending,moderate,1.0,107,0.7974,0.4633,0.3341,-0.0578
