step,Mean Opinion,Mean Extremity,Opinion Variance,Extreme Share,Mean Preference Center,Mean Preference Center Extremity,Mean Preference Width,Mean Acceptance Threshold,Mean Rejection Threshold,Acceptance Rate,Ignore Rate,Backfire Rate,Average Exposure Distance,initial_preference_width,initial_distribution,seed
0,0.017253823208799757,0.4541858448130934,0.2339647612249952,0.04,0.017253823208799757,0.4541858448130934,0.2,0.26925000000000004,0.7075,0.0,0.0,0.0,0.0,0.2,polarized,1
1,0.016845847029071173,0.4547648043185653,0.2345578611950116,0.05,0.015493790462728854,0.45550998608327425,0.19908599999999999,0.26925000000000004,0.7075,0.76,0.235,0.005,0.16999813086454665,0.2,polarized,1
2,0.01661863022338709,0.4552358289536171,0.23525363702073818,0.045,0.015343402387143714,0.4568347464117472,0.19822801500000004,0.26925000000000004,0.7075,0.765,0.2325,0.0025,0.15122860333367627,0.2,polarized,1
3,0.01600284777801146,0.4548729109926245,0.23499528839096112,0.035,0.014399984257914484,0.4550473877817041,0.19729838800400004,0.26925000000000004,0.7075,0.7766666666666666,0.22,0.0033333333333333335,0.15283064322637313,0.2,polarized,1
4,0.0163552481301184,0.4552658322618923,0.23552237500909695,0.04,0.01589121951415067,0.4560786559325578,0.19642143223297004,0.26925000000000004,0.7075,0.78625,0.21125,0.0025,0.14642376540392177,0.2,polarized,1
5,0.016056803991812515,0.4566289247376808,0.23704241898096753,0.05,0.015050817795188803,0.4600054453280647,0.19557813022090315,0.26925000000000004,0.7075,0.782,0.216,0.002,0.1530769741038649,0.2,polarized,1
6,0.01646275817623726,0.4573863273457552,0.2384116832572389,0.04,0.016651899149167627,0.4614050055844983,0.19471185662250037,0.26925000000000004,0.7075,0.7866666666666666,0.21166666666666667,0.0016666666666666668,0.15747584793375158,0.2,polarized,1
7,0.016173653030574803,0.4577883208467148,0.23905833697407033,0.045,0.015571440869771523,0.46149925999357655,0.1938077482303027,0.26925000000000004,0.7075,0.7871428571428571,0.21071428571428572,0.002142857142857143,0.15892361372655098,0.2,polarized,1
8,0.01616762935359514,0.4584425485428902,0.23961110128512794,0.05,0.01515359065513678,0.4622874461575793,0.19292195079554963,0.26925000000000004,0.7075,0.78375,0.21375,0.0025,0.1737174546054809,0.2,polarized,1
9,0.015467462366205626,0.45827106684667657,0.24021224051183743,0.055,0.013522408061445435,0.46115039569868577,0.19199335994337063,0.26925000000000004,0.7075,0.79,0.20722222222222222,0.002777777777777778,0.15247920913046364,0.2,polarized,1
10,0.015892762158454535,0.45839260297299483,0.24077494885152778,0.055,0.015261480214574043,0.46117743039204795,0.19116056904082648,0.26925000000000004,0.7075,0.789,0.2085,0.0025,0.15289490786919877,0.2,polarized,1
11,0.016980518882813603,0.4602123110300019,0.24284967535099455,0.05,0.018247621810822737,0.46558828481484044,0.1902698624210219,0.26925000000000004,0.7075,0.7890909090909091,0.2081818181818182,0.0027272727272727275,0.16104924238196788,0.2,polarized,1
12,0.016727210994150667,0.46170663643601645,0.24459930921477147,0.05,0.017336869202405118,0.4688533593970466,0.18940565766008036,0.26925000000000004,0.7075,0.7858333333333334,0.21125,0.002916666666666667,0.1710782319529875,0.2,polarized,1
13,0.015620156039790634,0.46336241972808895,0.2463779758776088,0.05,0.013679197794630444,0.4721080607432694,0.18855280583803466,0.26925000000000004,0.7075,0.7896153846153846,0.2076923076923077,0.002692307692307692,0.1543316934373763,0.2,polarized,1
14,0.015239088943947243,0.46406129721019596,0.24740211063580142,0.05,0.012958629003102615,0.4724480276699869,0.18775185886240384,0.26925000000000004,0.7075,0.7867857142857143,0.21071428571428572,0.0025,0.16417980800666776,0.2,polarized,1
15,0.01588370477352656,0.4655279986344924,0.24883061074944102,0.055,0.015258476929353813,0.47544236059666245,0.186914927071404,0.26925000000000004,0.7075,0.789,0.20866666666666667,0.0023333333333333335,0.14611642491393734,0.2,polarized,1
16,0.015859851546478402,0.464213550427622,0.2481131076082321,0.055,0.01561511864643985,0.4690929975178569,0.18604522129494425,0.26925000000000004,0.7075,0.795,0.2028125,0.0021875,0.13019490880186543,0.2,polarized,1
17,0.015959457667607008,0.46445094041428125,0.2488903164989122,0.055,0.015705715990588127,0.4698423126450416,0.18522441790975783,0.26925000000000004,0.7075,0.7955882352941176,0.2023529411764706,0.002058823529411765,0.14357921106641094,0.2,polarized,1
18,0.014875360711648546,0.46409949247688287,0.24879529424679014,0.05,0.012554233535946015,0.4676261419315715,0.18438217884976063,0.26925000000000004,0.7075,0.7986111111111112,0.19944444444444445,0.0019444444444444444,0.1426502441575221,0.2,polarized,1
19,0.015878460053264425,0.4651942242655968,0.2500831941293292,0.055,0.01606158813603267,0.4707013857514189,0.18357442039911434,0.26925000000000004,0.7075,0.7984210526315789,0.19973684210526316,0.0018421052631578947,0.15497681726601592,0.2,polarized,1
20,0.01482461031395284,0.46432417730055037,0.24922903621219777,0.055,0.012545324708645788,0.4668673684104359,0.18276774733339152,0.26925000000000004,0.7075,0.7985,0.19975,0.00175,0.14857591068189266,0.2,polarized,1
21,0.014463101327076247,0.4643057149395553,0.24946470433622828,0.055,0.011906844500970716,0.46747313114774386,0.1819727095703567,0.26925000000000004,0.7075,0.7978571428571428,0.20047619047619047,0.0016666666666666668,0.14755752310753548,0.2,polarized,1
22,0.015346256429088849,0.46377500190195464,0.2492573159156932,0.06,0.014670404243185982,0.4653950640602899,0.18117277489017966,0.26925000000000004,0.7075,0.7979545454545455,0.20045454545454544,0.001590909090909091,0.15718841441553252,0.2,polarized,1
23,0.015325118648182645,0.4636560556755049,0.24944792147093353,0.065,0.014950814550621663,0.4645941977369094,0.1803739564658865,0.26925000000000004,0.7075,0.7982608695652174,0.20021739130434782,0.0015217391304347826,0.1436973141015071,0.2,polarized,1
24,0.014747227512317622,0.46345840033033,0.2497687834347145,0.07,0.013206362013181745,0.46413707561567025,0.17956472734102458,0.26925000000000004,0.7075,0.7995833333333333,0.19895833333333332,0.0014583333333333334,0.14088241466772555,0.2,polarized,1
25,0.013229543768844393,0.46364619500727117,0.25062161775383873,0.075,0.008368904800400118,0.46402535603803385,0.17877248512537086,0.26925000000000004,0.7075,0.7998,0.1988,0.0014,0.15057064479521542,0.2,polarized,1
26,0.013094165277409317,0.4635198205726762,0.2510252249377311,0.07,0.009374702220709002,0.4635585143691279,0.17797048091994136,0.26925000000000004,0.7075,0.8009615384615385,0.1976923076923077,0.001346153846153846,0.1399597333564211,0.2,polarized,1
27,0.013205129330617578,0.4627396901777122,0.2505763731961966,0.065,0.01039534577312017,0.46166029677076337,0.1771848259751193,0.26925000000000004,0.7075,0.8011111111111111,0.1975925925925926,0.0012962962962962963,0.1455436962988089,0.2,polarized,1
28,0.012141723881402255,0.462661768483018,0.2506741501997715,0.07,0.007618693211756223,0.46154100999609865,0.17640345087873605,0.26925000000000004,0.7075,0.80125,0.1975,0.00125,0.14802172573730005,0.2,polarized,1
29,0.011375091703202823,0.4639915891792727,0.25192861589337434,0.075,0.006592234740895606,0.4650920782404762,0.17556380977797537,0.26925000000000004,0.7075,0.8020689655172414,0.19655172413793104,0.001379310344827586,0.1370569227571976,0.2,polarized,1
30,0.010408759663980529,0.4633410141689066,0.2516680254883547,0.075,0.00455052108717799,0.4624402808345205,0.17476323956158255,0.26925000000000004,0.7075,0.8038333333333333,0.19483333333333333,0.0013333333333333333,0.14150161218948606,0.2,polarized,1
