step,Mean Opinion,Mean Extremity,Opinion Variance,Extreme Share,Mean Preference Center,Mean Preference Center Extremity,Mean Preference Width,Mean Acceptance Threshold,Mean Rejection Threshold,Acceptance Rate,Ignore Rate,Backfire Rate,Average Exposure Distance,initial_preference_width,initial_distribution,seed
0,0.02200402546375216,0.4500346304734765,0.23667879172006326,0.05,0.02200402546375216,0.4500346304734765,0.2,0.265,0.6999999999999998,0.0,0.0,0.0,0.0,0.2,polarized,2
1,0.02186254516360485,0.44870527728586673,0.2355799358774474,0.05,0.021561899525791815,0.4458804017621958,0.199156,0.265,0.6999999999999998,0.74,0.26,0.0,0.1624511964173223,0.2,polarized,2
2,0.020819026463742153,0.4484294172265077,0.2357043887490989,0.055,0.017958780765500656,0.4449005886656199,0.19823398500000003,0.265,0.6999999999999998,0.76,0.2375,0.0025,0.1621776572151184,0.2,polarized,2
3,0.020480710139510316,0.4490213568425622,0.23590224833029536,0.05,0.017501655188241816,0.4475617685634885,0.19737678209100004,0.265,0.6999999999999998,0.765,0.23333333333333334,0.0016666666666666668,0.15340480271690735,0.2,polarized,2
4,0.02034631532209871,0.44822991963192704,0.23571715996443807,0.05,0.017978945124442328,0.44603458777427407,0.196555961739624,0.265,0.6999999999999998,0.75375,0.245,0.00125,0.1615451411401212,0.2,polarized,2
5,0.019372016009944416,0.4495636883738968,0.2368887735321799,0.05,0.015234749644955,0.45043245210947347,0.19567936408824338,0.265,0.6999999999999998,0.767,0.232,0.001,0.14818582343821793,0.2,polarized,2
6,0.019265320337032855,0.44907973112398336,0.23697011932289477,0.05,0.015793009666371302,0.4496913493614535,0.19484508075341495,0.265,0.6999999999999998,0.765,0.23416666666666666,0.0008333333333333334,0.16072174561182584,0.2,polarized,2
7,0.01924742272551437,0.44942324230919867,0.23756684515445842,0.055,0.01652212067684254,0.45077965648237345,0.19399395906741168,0.265,0.6999999999999998,0.7685714285714286,0.2307142857142857,0.0007142857142857143,0.14858476316662542,0.2,polarized,2
8,0.01909245016585243,0.4495361839656358,0.23812377426690037,0.06,0.016519212328507837,0.4517456530889824,0.19309990491241677,0.265,0.6999999999999998,0.78125,0.218125,0.000625,0.13868626810863577,0.2,polarized,2
9,0.019166597122134876,0.44930099766578535,0.23786548681357625,0.065,0.01678016450113819,0.45074216307777776,0.1922507185069273,0.265,0.6999999999999998,0.7833333333333333,0.21611111111111111,0.0005555555555555556,0.1544330237019654,0.2,polarized,2
10,0.01800863536423184,0.44908673936815974,0.23748820883044483,0.065,0.013461946998899688,0.4502182336245136,0.1914138864870555,0.265,0.6999999999999998,0.7835,0.216,0.0005,0.1524749824727206,0.2,polarized,2
11,0.018135969166692287,0.44937721439504047,0.2383500174372322,0.065,0.01439686891056309,0.45186251361304924,0.19058044966634555,0.265,0.6999999999999998,0.7836363636363637,0.2159090909090909,0.00045454545454545455,0.1638986062086447,0.2,polarized,2
12,0.01876055400154065,0.4486663516677408,0.23783699003376504,0.065,0.016759448317957514,0.4494874549722047,0.18974801715936365,0.265,0.6999999999999998,0.7841666666666667,0.21541666666666667,0.0004166666666666667,0.16209126985432884,0.2,polarized,2
13,0.019892030427941153,0.44879070335539856,0.2384672690791154,0.07,0.020465616139062365,0.45033843151271535,0.18891910945587917,0.265,0.6999999999999998,0.7846153846153846,0.215,0.0003846153846153846,0.1617842983495996,0.2,polarized,2
14,0.01967042830946368,0.4491233016613734,0.23895404283849847,0.075,0.019247779432262368,0.45140503507530366,0.1880995651957917,0.265,0.6999999999999998,0.7842857142857143,0.21535714285714286,0.00035714285714285714,0.1491676826806992,0.2,polarized,2
15,0.019992323426322865,0.4494652975729271,0.23932032913526613,0.08,0.019634038604455152,0.4518823498440976,0.18720594597055026,0.265,0.6999999999999998,0.7866666666666666,0.21266666666666667,0.0006666666666666666,0.14491720799516908,0.2,polarized,2
16,0.019812627126390304,0.44881420759060064,0.2389274647963022,0.08,0.019265971501431656,0.4498972288306751,0.18637171767999405,0.265,0.6999999999999998,0.78875,0.210625,0.000625,0.1422166471270314,0.2,polarized,2
17,0.020302959897149902,0.4484619927653307,0.23867705803873004,0.08,0.020816533563708557,0.44940121863894966,0.1855774108622127,0.265,0.6999999999999998,0.7867647058823529,0.2126470588235294,0.000588235294117647,0.15740461579294154,0.2,polarized,2
18,0.020660977332678857,0.4480456799492941,0.23836633927280532,0.07,0.021621699492831235,0.44778365596566483,0.1847159474760334,0.265,0.6999999999999998,0.7866666666666666,0.2125,0.0008333333333333334,0.16090088415945467,0.2,polarized,2
19,0.019461378172884715,0.4486197254530266,0.23915965923255836,0.07,0.018322850937901945,0.4490902911098671,0.18383488860036473,0.265,0.6999999999999998,0.7886842105263158,0.21026315789473685,0.0010526315789473684,0.13869913478391355,0.2,polarized,2
20,0.020046606643230377,0.44893605119065183,0.23953257701237488,0.075,0.020516946620420074,0.450120681498622,0.18299886646139804,0.265,0.6999999999999998,0.79175,0.20725,0.001,0.1379962617843732,0.2,polarized,2
21,0.019900374937134403,0.4499303490536952,0.24043536199185997,0.075,0.020667465173155812,0.45266980254457734,0.18213835487535626,0.265,0.6999999999999998,0.7923809523809524,0.20642857142857143,0.0011904761904761906,0.16001117046720448,0.2,polarized,2
22,0.020908687547300894,0.44990195121657306,0.24052703173973064,0.075,0.023757540326556054,0.4522772113192626,0.1813211622530426,0.265,0.6999999999999998,0.7940909090909091,0.20477272727272727,0.0011363636363636363,0.1394931034787399,0.2,polarized,2
23,0.021565991895688127,0.4503288353089502,0.24136171992721395,0.075,0.02499196891625835,0.453688857706636,0.18052710564464092,0.265,0.6999999999999998,0.7941304347826087,0.20478260869565218,0.0010869565217391304,0.1384495001008302,0.2,polarized,2
24,0.02181732995318937,0.450449349595895,0.2414946248959157,0.075,0.025079742281993545,0.45345000159765353,0.17968233791579544,0.265,0.6999999999999998,0.7941666666666667,0.20458333333333334,0.00125,0.1476169610028029,0.2,polarized,2
25,0.021399391007276457,0.45031480103218835,0.24144232137358437,0.08,0.02304829382966962,0.4531970591865033,0.1789309257994096,0.265,0.6999999999999998,0.7916,0.2072,0.0012,0.1615744050996459,0.2,polarized,2
26,0.02174553430866723,0.4517828179638219,0.24294081827931577,0.08,0.02369002402722958,0.4572569733933955,0.17810650121310778,0.265,0.6999999999999998,0.7946153846153846,0.20423076923076924,0.001153846153846154,0.13288300373013529,0.2,polarized,2
27,0.021997094652300587,0.45159861746347596,0.24322162168730763,0.08,0.024058904750638516,0.4565640198560488,0.17731250847757513,0.265,0.6999999999999998,0.7955555555555556,0.20333333333333334,0.0011111111111111111,0.1415670733267495,0.2,polarized,2
28,0.022477510865203585,0.45121776568306116,0.2430305454881342,0.08,0.024999604694891157,0.45428274197764096,0.17651407856743012,0.265,0.6999999999999998,0.7969642857142857,0.2019642857142857,0.0010714285714285715,0.1409507031913505,0.2,polarized,2
29,0.023578222760415192,0.4510551127190914,0.24282627107971116,0.08,0.02792763384348299,0.4540003413163863,0.17573302733075624,0.265,0.6999999999999998,0.7974137931034483,0.20155172413793104,0.0010344827586206897,0.13998500795822777,0.2,polarized,2
30,0.02346275636499697,0.45116837340229937,0.24294214646753215,0.09,0.026510248835131565,0.45373841288271016,0.1749554202477618,0.265,0.6999999999999998,0.7978333333333333,0.20116666666666666,0.001,0.14769841025485322,0.2,polarized,2
31,0.02421568744806595,0.45151498833442605,0.24344383076705495,0.09,0.02783996248918422,0.45492044338957094,0.1741325709114151,0.265,0.6999999999999998,0.7980645161290323,0.20080645161290323,0.0011290322580645162,0.1500600842592053,0.2,polarized,2
32,0.02557123217914914,0.4519397609847063,0.24424742818342138,0.09,0.031104990674068567,0.4564495314977546,0.17332914975874025,0.265,0.6999999999999998,0.79734375,0.20140625,0.00125,0.16232420763184963,0.2,polarized,2
33,0.027201841318765324,0.4513006379402729,0.2439115076562802,0.09,0.03450191089035647,0.4545190112673341,0.17254895674247295,0.265,0.6999999999999998,0.7984848484848485,0.20030303030303032,0.0012121212121212121,0.13933188238509583,0.2,polarized,2
34,0.027323982371574244,0.4498778606249866,0.24287198372680138,0.085,0.03336674647570249,0.44977320656699243,0.17176436375102802,0.265,0.6999999999999998,0.8,0.1988235294117647,0.001176470588235294,0.13648340964160283,0.2,polarized,2
35,0.02699251605820037,0.4485959385900892,0.2416339531233122,0.085,0.03115904876933337,0.4463364401873618,0.17099136269140583,0.265,0.6999999999999998,0.801,0.19785714285714287,0.001142857142857143,0.13655910005033756,0.2,polarized,2
